task,pnum,iteration,score
second_word_letter,5,5,0.28
second_word_letter,6,1,0.17
second_word_letter,6,2,0.19
second_word_letter,6,3,0.2
second_word_letter,6,4,0.22
second_word_letter,6,5,0.18
second_word_letter,7,1,0.27
second_word_letter,7,2,0.3
second_word_letter,7,3,0.28
second_word_letter,7,4,0.26
second_word_letter,7,5,0.25
second_word_letter,8,1,0.2
second_word_letter,8,2,0.21
second_word_letter,8,3,0.2
second_word_letter,8,4,0.23
second_word_letter,8,5,0.17
second_word_letter,9,1,0.31
second_word_letter,9,2,0.25
second_word_letter,9,3,0.27
second_word_letter,9,4,0.27
second_word_letter,9,5,0.28
second_word_letter,10,1,0.18
second_word_letter,10,2,0.24
second_word_letter,10,3,0.27
second_word_letter,10,4,0.18
second_word_letter,10,5,0.2
first_word_letter,0,1,0.97
first_word_letter,0,2,0.98
first_word_letter,0,3,0.99
first_word_letter,0,4,0.98
first_word_letter,0,5,0.99
first_word_letter,1,1,0.91
first_word_letter,1,2,0.91
first_word_letter,1,3,0.91
first_word_letter,1,4,0.95
first_word_letter,1,5,0.91
first_word_letter,2,1,0.93
first_word_letter,2,2,0.91
first_word_letter,2,3,0.93
first_word_letter,2,4,0.93
first_word_letter,2,5,0.9
first_word_letter,3,1,0.95
first_word_letter,3,2,0.94
first_word_letter,3,3,0.97
first_word_letter,3,4,0.94
first_word_letter,3,5,0.96
first_word_letter,4,1,0.81
first_word_letter,4,2,0.79
first_word_letter,4,3,0.78
first_word_letter,4,4,0.84
first_word_letter,4,5,0.78
first_word_letter,5,1,0.92
first_word_letter,5,2,0.93
first_word_letter,5,3,0.93
first_word_letter,5,4,0.96
first_word_letter,5,5,0.93
first_word_letter,6,1,0.9
first_word_letter,6,2,0.93
first_word_letter,6,3,0.95
first_word_letter,6,4,0.95
first_word_letter,6,5,0.93
first_word_letter,7,1,0.89
first_word_letter,7,2,0.91
first_word_letter,7,3,0.84
first_word_letter,7,4,0.85
first_word_letter,7,5,0.88
first_word_letter,8,1,0.53
first_word_letter,8,2,0.56
first_word_letter,8,3,0.51
first_word_letter,8,4,0.56
first_word_letter,8,5,0.54
first_word_letter,9,1,0.93
first_word_letter,9,2,0.9
first_word_letter,9,3,0.91
first_word_letter,9,4,0.89
first_word_letter,9,5,0.9
first_word_letter,10,1,0.79
first_word_letter,10,2,0.79
first_word_letter,10,3,0.81
first_word_letter,10,4,0.73
first_word_letter,10,5,0.83
sentiment,0,1,0.89
sentiment,0,2,0.85
sentiment,0,3,0.86
sentiment,0,4,0.86
sentiment,0,5,0.9
sentiment,1,1,0.88
sentiment,1,2,0.82
sentiment,1,3,0.84
sentiment,1,4,0.86
sentiment,1,5,0.86
sentiment,2,1,0.84
sentiment,2,2,0.86
sentiment,2,3,0.85
sentiment,2,4,0.85
sentiment,2,5,0.89
sentiment,3,1,0.86
sentiment,3,2,0.87
sentiment,3,3,0.87
sentiment,3,4,0.86
sentiment,3,5,0.85
sentiment,4,1,0.84
sentiment,4,2,0.83
sentiment,4,3,0.85
sentiment,4,4,0.83
sentiment,4,5,0.83
sentiment,5,1,0.84
sentiment,5,2,0.84
sentiment,5,3,0.86
sentiment,5,4,0.82
sentiment,5,5,0.87
sentiment,6,1,0.87
sentiment,6,2,0.9
sentiment,6,3,0.88
sentiment,6,4,0.88
sentiment,6,5,0.88
sentiment,7,1,0.85
sentiment,7,2,0.88
sentiment,7,3,0.87
sentiment,7,4,0.85
sentiment,7,5,0.86
sentiment,8,1,0.86
sentiment,8,2,0.85
sentiment,8,3,0.89
sentiment,8,4,0.85
sentiment,8,5,0.84
sentiment,9,1,0.85
sentiment,9,2,0.87
sentiment,9,3,0.85
sentiment,9,4,0.86
sentiment,9,5,0.83
sentiment,10,1,0.87
sentiment,10,2,0.84
sentiment,10,3,0.85
sentiment,10,4,0.84
sentiment,10,5,0.84
diff,0,1,0.66
diff,0,2,0.67
diff,0,3,0.68
diff,0,4,0.68
diff,0,5,0.7
diff,1,1,0.78
diff,1,2,0.8
diff,1,3,0.8
diff,1,4,0.82
diff,1,5,0.79
diff,2,1,0.47
diff,2,2,0.47
diff,2,3,0.53
diff,2,4,0.55
diff,2,5,0.53
diff,3,1,0.47
diff,3,2,0.4
diff,3,3,0.47
diff,3,4,0.49
diff,3,5,0.5
diff,4,1,0.14
diff,4,2,0.09
diff,4,3,0.14
diff,4,4,0.07
diff,4,5,0.1
diff,5,1,0.22
diff,5,2,0.2
diff,5,3,0.15
diff,5,4,0.25
diff,5,5,0.18
diff,6,1,0.3
diff,6,2,0.26
diff,6,3,0.25
diff,6,4,0.2
diff,6,5,0.28
diff,7,1,0.64
diff,7,2,0.65
diff,7,3,0.73
diff,7,4,0.55
diff,7,5,0.59
diff,8,1,0.18
diff,8,2,0.19
diff,8,3,0.22
diff,8,4,0.21
diff,8,5,0.2
diff,9,1,0.43
diff,9,2,0.4
diff,9,3,0.35
diff,9,4,0.36
diff,9,5,0.36
diff,10,1,0.24
diff,10,2,0.27
diff,10,3,0.25
diff,10,4,0.22
diff,10,5,0.21
sentence_similarity,0,1,0.33
sentence_similarity,0,2,0.24
sentence_similarity,0,3,0.35
sentence_similarity,0,4,0.32
sentence_similarity,0,5,0.28
sentence_similarity,1,1,0.28
sentence_similarity,1,2,0.33
sentence_similarity,1,3,0.27
sentence_similarity,1,4,0.25
sentence_similarity,1,5,0.26
sentence_similarity,2,1,0.3
sentence_similarity,2,2,0.28
sentence_similarity,2,3,0.34
sentence_similarity,2,4,0.34
sentence_similarity,2,5,0.31
sentence_similarity,3,1,0.35
sentence_similarity,3,2,0.3
sentence_similarity,3,3,0.27
sentence_similarity,3,4,0.32
sentence_similarity,3,5,0.25
sentence_similarity,4,1,0.28
sentence_similarity,4,2,0.32
sentence_similarity,4,3,0.3
sentence_similarity,4,4,0.33
sentence_similarity,4,5,0.28
sentence_similarity,5,1,0.31
sentence_similarity,5,2,0.28
sentence_similarity,5,3,0.27
sentence_similarity,5,4,0.28
sentence_similarity,5,5,0.32
sentence_similarity,6,1,0.32
sentence_similarity,6,2,0.26
sentence_similarity,6,3,0.34
sentence_similarity,6,4,0.29
sentence_similarity,6,5,0.33
sentence_similarity,7,1,0.31
sentence_similarity,7,2,0.32
sentence_similarity,7,3,0.29
sentence_similarity,7,4,0.29
sentence_similarity,7,5,0.34
sentence_similarity,8,1,0.25
sentence_similarity,8,2,0.25
sentence_similarity,8,3,0.21
sentence_similarity,8,4,0.28
sentence_similarity,8,5,0.23
sentence_similarity,9,1,0.28
sentence_similarity,9,2,0.25
sentence_similarity,9,3,0.33
sentence_similarity,9,4,0.29
sentence_similarity,9,5,0.26
sentence_similarity,10,1,0.25
sentence_similarity,10,2,0.26
sentence_similarity,10,3,0.28
sentence_similarity,10,4,0.27
sentence_similarity,10,5,0.28
negation,0,1,0.31
negation,0,2,0.31
negation,0,3,0.31
negation,0,4,0.32
negation,0,5,0.33
negation,1,1,0.08
negation,1,2,0.07
negation,1,3,0.04
negation,1,4,0.08
negation,1,5,0.05
negation,2,1,0.1
negation,2,2,0.05
negation,2,3,0.08
negation,2,4,0.05
negation,2,5,0.05
negation,3,1,0.02
negation,3,2,0.04
negation,3,3,0.04
negation,3,4,0.04
negation,3,5,0.04
negation,4,1,0.09
negation,4,2,0.09
negation,4,3,0.08
negation,4,4,0.08
negation,4,5,0.05
negation,5,1,0.08
negation,5,2,0.09
negation,5,3,0.1
negation,5,4,0.12
negation,5,5,0.05
negation,6,1,0.18
negation,6,2,0.21
negation,6,3,0.26
negation,6,4,0.19
negation,6,5,0.18
negation,7,1,0.19
negation,7,2,0.12
negation,7,3,0.08
negation,7,4,0.13
negation,7,5,0.16
negation,8,1,0.24
negation,8,2,0.26
negation,8,3,0.29
negation,8,4,0.23
negation,8,5,0.18
negation,9,1,0.13
negation,9,2,0.15
negation,9,3,0.13
negation,9,4,0.17
negation,9,5,0.12
negation,10,1,0.32
negation,10,2,0.32
negation,10,3,0.34
negation,10,4,0.29
negation,10,5,0.29
translation_en-de,0,1,0.22
translation_en-de,0,2,0.19
translation_en-de,0,3,0.22
translation_en-de,0,4,0.2
translation_en-de,0,5,0.2
translation_en-de,1,1,0.11
translation_en-de,1,2,0.16
translation_en-de,1,3,0.14
translation_en-de,1,4,0.17
translation_en-de,1,5,0.14
translation_en-de,2,1,0.15
translation_en-de,2,2,0.14
translation_en-de,2,3,0.13
translation_en-de,2,4,0.15
translation_en-de,2,5,0.19
translation_en-de,3,1,0.21
translation_en-de,3,2,0.21
translation_en-de,3,3,0.16
translation_en-de,3,4,0.21
translation_en-de,3,5,0.16
translation_en-de,4,1,0.01
translation_en-de,4,2,0.03
translation_en-de,4,3,0.01
translation_en-de,4,4,0.02
translation_en-de,4,5,0.03
translation_en-de,5,1,0.07
translation_en-de,5,2,0.05
translation_en-de,5,3,0.08
translation_en-de,5,4,0.06
translation_en-de,5,5,0.06
translation_en-de,6,1,0.2
translation_en-de,6,2,0.23
translation_en-de,6,3,0.19
translation_en-de,6,4,0.19
translation_en-de,6,5,0.2
translation_en-de,7,1,0.17
translation_en-de,7,2,0.19
translation_en-de,7,3,0.18
translation_en-de,7,4,0.14
translation_en-de,7,5,0.12
translation_en-de,8,1,0.11
translation_en-de,8,2,0.09
translation_en-de,8,3,0.14
translation_en-de,8,4,0.16
translation_en-de,8,5,0.08
translation_en-de,9,1,0.08
translation_en-de,9,2,0.07
translation_en-de,9,3,0.15
translation_en-de,9,4,0.06
translation_en-de,9,5,0.09
translation_en-de,10,1,0.11
translation_en-de,10,2,0.13
translation_en-de,10,3,0.09
translation_en-de,10,4,0.08
translation_en-de,10,5,0.12
num_to_verbal,0,1,0.63
num_to_verbal,0,2,0.63
num_to_verbal,0,3,0.65
num_to_verbal,0,4,0.64
num_to_verbal,0,5,0.63
num_to_verbal,1,1,0.41
num_to_verbal,1,2,0.47
num_to_verbal,1,3,0.49
num_to_verbal,1,4,0.48
num_to_verbal,1,5,0.44
num_to_verbal,2,1,0.47
num_to_verbal,2,2,0.41
num_to_verbal,2,3,0.43
num_to_verbal,2,4,0.47
num_to_verbal,2,5,0.46
num_to_verbal,3,1,0.58
num_to_verbal,3,2,0.48
num_to_verbal,3,3,0.49
num_to_verbal,3,4,0.55
num_to_verbal,3,5,0.55
num_to_verbal,4,1,0.45
num_to_verbal,4,2,0.5
num_to_verbal,4,3,0.51
num_to_verbal,4,4,0.51
num_to_verbal,4,5,0.53
num_to_verbal,5,1,0.38
num_to_verbal,5,2,0.38
num_to_verbal,5,3,0.43
num_to_verbal,5,4,0.37
num_to_verbal,5,5,0.42
num_to_verbal,6,1,0.57
num_to_verbal,6,2,0.56
num_to_verbal,6,3,0.54
num_to_verbal,6,4,0.54
num_to_verbal,6,5,0.52
num_to_verbal,7,1,0.26
num_to_verbal,7,2,0.26
num_to_verbal,7,3,0.25
num_to_verbal,7,4,0.28
num_to_verbal,7,5,0.2
num_to_verbal,8,1,0.17
num_to_verbal,8,2,0.2
num_to_verbal,8,3,0.16
num_to_verbal,8,4,0.2
num_to_verbal,8,5,0.2
num_to_verbal,9,1,0.5
num_to_verbal,9,2,0.53
num_to_verbal,9,3,0.52
num_to_verbal,9,4,0.47
num_to_verbal,9,5,0.5
num_to_verbal,10,1,0.23
num_to_verbal,10,2,0.25
num_to_verbal,10,3,0.27
num_to_verbal,10,4,0.25
num_to_verbal,10,5,0.22
cause_and_effect,0,1,0.48
cause_and_effect,0,2,0.32
cause_and_effect,0,3,0.64
cause_and_effect,0,4,0.56
cause_and_effect,0,5,0.6
cause_and_effect,1,1,0.36
cause_and_effect,1,2,0.6
cause_and_effect,1,3,0.64
cause_and_effect,1,4,0.56
cause_and_effect,1,5,0.4
cause_and_effect,2,1,0.64
cause_and_effect,2,2,0.84
cause_and_effect,2,3,0.64
cause_and_effect,2,4,0.52
cause_and_effect,2,5,0.6
cause_and_effect,3,1,0.64
cause_and_effect,3,2,0.64
cause_and_effect,3,3,0.6
cause_and_effect,3,4,0.68
cause_and_effect,3,5,0.56
cause_and_effect,4,1,0.48
cause_and_effect,4,2,0.56
cause_and_effect,4,3,0.44
cause_and_effect,4,4,0.36
cause_and_effect,4,5,0.52
cause_and_effect,5,1,0.68
cause_and_effect,5,2,0.64
cause_and_effect,5,3,0.68
cause_and_effect,5,4,0.6
cause_and_effect,5,5,0.44
cause_and_effect,6,1,0.52
cause_and_effect,6,2,0.52
cause_and_effect,6,3,0.4
cause_and_effect,6,4,0.52
cause_and_effect,6,5,0.52
cause_and_effect,7,1,0.6
cause_and_effect,7,2,0.68
cause_and_effect,7,3,0.64
cause_and_effect,7,4,0.68
cause_and_effect,7,5,0.76
cause_and_effect,8,1,0.56
cause_and_effect,8,2,0.52
cause_and_effect,8,3,0.64
cause_and_effect,8,4,0.72
cause_and_effect,8,5,0.56
cause_and_effect,9,1,0.64
cause_and_effect,9,2,0.44
cause_and_effect,9,3,0.6
cause_and_effect,9,4,0.52
cause_and_effect,9,5,0.64
cause_and_effect,10,1,0.64
cause_and_effect,10,2,0.72
cause_and_effect,10,3,0.48
cause_and_effect,10,4,0.56
cause_and_effect,10,5,0.6
taxonomy_animal,0,1,0.03
taxonomy_animal,0,2,0.07
taxonomy_animal,0,3,0.04
taxonomy_animal,0,4,0.06
taxonomy_animal,0,5,0.07
taxonomy_animal,1,1,0.09
taxonomy_animal,1,2,0.08
taxonomy_animal,1,3,0.09
taxonomy_animal,1,4,0.06
taxonomy_animal,1,5,0.1
taxonomy_animal,2,1,0.1
taxonomy_animal,2,2,0.07
taxonomy_animal,2,3,0.1
taxonomy_animal,2,4,0.09
taxonomy_animal,2,5,0.1
taxonomy_animal,3,1,0.05
taxonomy_animal,3,2,0.09
taxonomy_animal,3,3,0.1
taxonomy_animal,3,4,0.09
taxonomy_animal,3,5,0.12
taxonomy_animal,4,1,0.04
taxonomy_animal,4,2,0.03
taxonomy_animal,4,3,0.06
taxonomy_animal,4,4,0.04
taxonomy_animal,4,5,0.04
taxonomy_animal,5,1,0.06
taxonomy_animal,5,2,0.08
taxonomy_animal,5,3,0.09
taxonomy_animal,5,4,0.04
taxonomy_animal,5,5,0.07
taxonomy_animal,6,1,0.09
taxonomy_animal,6,2,0.1
taxonomy_animal,6,3,0.1
taxonomy_animal,6,4,0.09
taxonomy_animal,6,5,0.13
taxonomy_animal,7,1,0.08
taxonomy_animal,7,2,0.09
taxonomy_animal,7,3,0.07
taxonomy_animal,7,4,0.08
taxonomy_animal,7,5,0.12
taxonomy_animal,8,1,0.03
taxonomy_animal,8,2,0.03
taxonomy_animal,8,3,0.07
taxonomy_animal,8,4,0.07
taxonomy_animal,8,5,0.08
taxonomy_animal,9,1,0.14
taxonomy_animal,9,2,0.05
taxonomy_animal,9,3,0.1
taxonomy_animal,9,4,0.08
taxonomy_animal,9,5,0.06
taxonomy_animal,10,1,0.03
taxonomy_animal,10,2,0.05
taxonomy_animal,10,3,0.04
taxonomy_animal,10,4,0.05
taxonomy_animal,10,5,0.03
larger_animal,0,1,0.62
larger_animal,0,2,0.62
larger_animal,0,3,0.58
larger_animal,0,4,0.58
larger_animal,0,5,0.62
larger_animal,1,1,0.56
larger_animal,1,2,0.5
larger_animal,1,3,0.55
larger_animal,1,4,0.55
larger_animal,1,5,0.55
larger_animal,2,1,0.57
larger_animal,2,2,0.53
larger_animal,2,3,0.55
larger_animal,2,4,0.54
larger_animal,2,5,0.5
larger_animal,3,1,0.52
larger_animal,3,2,0.57
larger_animal,3,3,0.57
larger_animal,3,4,0.58
larger_animal,3,5,0.56
larger_animal,4,1,0.61
larger_animal,4,2,0.62
larger_animal,4,3,0.61
larger_animal,4,4,0.59
larger_animal,4,5,0.64
larger_animal,5,1,0.59
larger_animal,5,2,0.64
larger_animal,5,3,0.61
larger_animal,5,4,0.59
larger_animal,5,5,0.59
larger_animal,6,1,0.53
larger_animal,6,2,0.57
larger_animal,6,3,0.5
larger_animal,6,4,0.56
larger_animal,6,5,0.55
larger_animal,7,1,0.57
larger_animal,7,2,0.55
larger_animal,7,3,0.48
larger_animal,7,4,0.54
larger_animal,7,5,0.5
larger_animal,8,1,0.55
larger_animal,8,2,0.55
larger_animal,8,3,0.53
larger_animal,8,4,0.55
larger_animal,8,5,0.48
larger_animal,9,1,0.54
larger_animal,9,2,0.55
larger_animal,9,3,0.55
larger_animal,9,4,0.59
larger_animal,9,5,0.57
larger_animal,10,1,0.59
larger_animal,10,2,0.62
larger_animal,10,3,0.6
larger_animal,10,4,0.55
larger_animal,10,5,0.6
singular_to_plural,0,1,0.76
singular_to_plural,0,2,0.73
singular_to_plural,0,3,0.72
singular_to_plural,0,4,0.71
singular_to_plural,0,5,0.77
singular_to_plural,1,1,0.69
singular_to_plural,1,2,0.73
singular_to_plural,1,3,0.73
singular_to_plural,1,4,0.67
singular_to_plural,1,5,0.69
singular_to_plural,2,1,0.74
singular_to_plural,2,2,0.73
singular_to_plural,2,3,0.73
singular_to_plural,2,4,0.74
singular_to_plural,2,5,0.73
singular_to_plural,3,1,0.73
singular_to_plural,3,2,0.73
singular_to_plural,3,3,0.73
singular_to_plural,3,4,0.76
singular_to_plural,3,5,0.77
singular_to_plural,4,1,0.73
singular_to_plural,4,2,0.74
singular_to_plural,4,3,0.71
singular_to_plural,4,4,0.68
singular_to_plural,4,5,0.66
singular_to_plural,5,1,0.75
singular_to_plural,5,2,0.74
singular_to_plural,5,3,0.69
singular_to_plural,5,4,0.73
singular_to_plural,5,5,0.74
singular_to_plural,6,1,0.72
singular_to_plural,6,2,0.75
singular_to_plural,6,3,0.74
singular_to_plural,6,4,0.78
singular_to_plural,6,5,0.76
singular_to_plural,7,1,0.76
singular_to_plural,7,2,0.75
singular_to_plural,7,3,0.74
singular_to_plural,7,4,0.77
singular_to_plural,7,5,0.72
singular_to_plural,8,1,0.73
singular_to_plural,8,2,0.68
singular_to_plural,8,3,0.67
singular_to_plural,8,4,0.7
singular_to_plural,8,5,0.71
singular_to_plural,9,1,0.71
singular_to_plural,9,2,0.74
singular_to_plural,9,3,0.74
singular_to_plural,9,4,0.75
singular_to_plural,9,5,0.71
singular_to_plural,10,1,0.73
singular_to_plural,10,2,0.71
singular_to_plural,10,3,0.75
singular_to_plural,10,4,0.73
singular_to_plural,10,5,0.73
active_to_passive,0,1,0.3
active_to_passive,0,2,0.31
active_to_passive,0,3,0.31
active_to_passive,0,4,0.29
active_to_passive,0,5,0.34
active_to_passive,1,1,0.4
active_to_passive,1,2,0.41
active_to_passive,1,3,0.39
active_to_passive,1,4,0.29
active_to_passive,1,5,0.4
active_to_passive,2,1,0.42
active_to_passive,2,2,0.38
active_to_passive,2,3,0.35
active_to_passive,2,4,0.38
active_to_passive,2,5,0.35
active_to_passive,3,1,0.4
active_to_passive,3,2,0.4
active_to_passive,3,3,0.39
active_to_passive,3,4,0.43
active_to_passive,3,5,0.44
active_to_passive,4,1,0.26
active_to_passive,4,2,0.21
active_to_passive,4,3,0.19
active_to_passive,4,4,0.24
active_to_passive,4,5,0.25
active_to_passive,5,1,0.29
active_to_passive,5,2,0.21
active_to_passive,5,3,0.19
active_to_passive,5,4,0.21
active_to_passive,5,5,0.23
active_to_passive,6,1,0.3
active_to_passive,6,2,0.3
active_to_passive,6,3,0.36
active_to_passive,6,4,0.37
active_to_passive,6,5,0.32
active_to_passive,7,1,0.3
active_to_passive,7,2,0.36
active_to_passive,7,3,0.35
active_to_passive,7,4,0.33
active_to_passive,7,5,0.31
active_to_passive,8,1,0.25
active_to_passive,8,2,0.31
active_to_passive,8,3,0.27
active_to_passive,8,4,0.29
active_to_passive,8,5,0.25
active_to_passive,9,1,0.23
active_to_passive,9,2,0.27
active_to_passive,9,3,0.22
active_to_passive,9,4,0.2
active_to_passive,9,5,0.19
active_to_passive,10,1,0.38
active_to_passive,10,2,0.36
active_to_passive,10,3,0.34
active_to_passive,10,4,0.33
active_to_passive,10,5,0.37
letters_list,0,1,0.06
letters_list,0,2,0.04
letters_list,0,3,0.06
letters_list,0,4,0.06
letters_list,0,5,0.06
letters_list,1,1,0.02
letters_list,1,2,0.03
letters_list,1,3,0.04
letters_list,1,4,0.03
letters_list,1,5,0.01
letters_list,2,1,0.02
letters_list,2,2,0.0
letters_list,2,3,0.02
letters_list,2,4,0.0
letters_list,2,5,0.01
letters_list,3,1,0.01
letters_list,3,2,0.04
letters_list,3,3,0.03
letters_list,3,4,0.05
letters_list,3,5,0.02
letters_list,4,1,0.0
letters_list,4,2,0.0
letters_list,4,3,0.0
letters_list,4,4,0.01
letters_list,4,5,0.0
letters_list,5,1,0.02
letters_list,5,2,0.0
letters_list,5,3,0.01
letters_list,5,4,0.01
letters_list,5,5,0.02
letters_list,6,1,0.02
letters_list,6,2,0.01
letters_list,6,3,0.01
letters_list,6,4,0.04
letters_list,6,5,0.03
letters_list,7,1,0.0
letters_list,7,2,0.01
letters_list,7,3,0.01
letters_list,7,4,0.0
letters_list,7,5,0.0
letters_list,8,1,0.01
letters_list,8,2,0.0
letters_list,8,3,0.0
letters_list,8,4,0.0
letters_list,8,5,0.01
letters_list,9,1,0.01
letters_list,9,2,0.02
letters_list,9,3,0.01
letters_list,9,4,0.01
letters_list,9,5,0.01
letters_list,10,1,0.0
letters_list,10,2,0.02
letters_list,10,3,0.0
letters_list,10,4,0.0
letters_list,10,5,0.0
antonyms,0,1,0.36
antonyms,0,2,0.44
antonyms,0,3,0.43
antonyms,0,4,0.35
antonyms,0,5,0.43
antonyms,1,1,0.38
antonyms,1,2,0.42
antonyms,1,3,0.38
antonyms,1,4,0.38
antonyms,1,5,0.37
antonyms,2,1,0.35
antonyms,2,2,0.38
antonyms,2,3,0.36
antonyms,2,4,0.37
antonyms,2,5,0.39
antonyms,3,1,0.43
antonyms,3,2,0.43
antonyms,3,3,0.45
antonyms,3,4,0.4
antonyms,3,5,0.43
antonyms,4,1,0.39
